"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party250",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McCurdy","D","OK","legislator","Yea","D","Passed"
"party251",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McDade","R","PA","legislator","Nay","D","Passed"
"party252",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McDermott","D","WA","legislator","Yea","D","Passed"
"party253",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McHale","D","PA","legislator","Yea","D","Passed"
"party254",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McHugh","R","NY","legislator","Nay","D","Passed"
"party255",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McInnis","R","CO","legislator","Yea","D","Passed"
"party256",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McKeon","R","CA","legislator","Nay","D","Passed"
"party257",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McKinney","D","GA","legislator","Yea","D","Passed"
"party258",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McMillan","R","NC","legislator","Nay","D","Passed"
"party259",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McNulty","D","NY","legislator","Yea","D","Passed"
"party260",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Meehan","D","MA","legislator","Yea","D","Passed"
"party261",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Meek","D","FL","legislator","Yea","D","Passed"
"party262",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Menendez","D","NJ","legislator","Yea","D","Passed"
"party263",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Meyers","R","KS","legislator","Nay","D","Passed"
"party264",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Mfume","D","MD","legislator","Yea","D","Passed"
"party265",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Mica","R","FL","legislator","Nay","D","Passed"
"party266",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Michel","R","IL","legislator","Nay","D","Passed"
"party267",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Miller (CA)","D","CA","legislator","Yea","D","Passed"
"party268",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Miller (FL)","R","FL","legislator","Nay","D","Passed"
"party269",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Mineta","D","CA","legislator","Yea","D","Passed"
"party270",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Minge","D","MN","legislator","Yea","D","Passed"
"party271",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Mink","D","HI","legislator","Yea","D","Passed"
"party272",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Moakley","D","MA","legislator","Yea","D","Passed"
"party273",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Molinari","R","NY","legislator","Nay","D","Passed"
